Year,Mo,Dy,tave,tmax,tmin,vp,rhmax,rhmin,pp,gust
2000,9,10,20.274,30.191999999999997,10.356,1.012,0.735,0.11699999999999999,0.0,7.7620000000000005
2000,9,11,18.834,24.691999999999997,12.975999999999999,0.897,0.654,0.172,0.0,6.409
2000,9,12,18.21,28.038,8.383,1.131,0.878,0.204,0.0,6.644
2000,9,13,20.715,31.541999999999998,9.888,1.186,0.8340000000000001,0.13699999999999998,0.0,8.663
2000,9,14,19.175,27.636999999999997,10.714,1.081,0.716,0.258,0.0,6.292000000000001
2000,9,15,20.561999999999998,31.379,9.746,1.2109999999999999,0.804,0.19699999999999998,0.0,5.312
2000,9,16,22.491999999999997,34.458,10.526,1.197,0.7979999999999999,0.081,0.0,7.388999999999999
2000,9,17,22.889,33.624,12.152999999999999,1.19,0.75,0.10300000000000001,0.0,17.424
2000,9,18,22.623,30.004,15.242,1.06,0.602,0.17,0.0,6.212999999999999
2000,9,19,15.187000000000001,22.526999999999997,7.846,1.1079999999999999,0.996,0.28800000000000003,0.0,8.761000000000001
2000,9,20,10.064,13.806,6.3229999999999995,0.894,0.973,0.47700000000000004,0.0,9.937000000000001
2000,9,21,12.074000000000002,20.019000000000002,4.13,1.061,0.977,0.529,0.0,7.468
2000,9,22,3.852,7.915,-0.21100000000000002,0.7340000000000001,1.014,0.809,0.0,6.468
2000,9,23,1.5659999999999998,3.486,-0.355,0.6829999999999999,1.024,0.972,0.0,7.291
2000,9,24,2.205,6.034,-1.6230000000000002,0.601,1.03,0.65,0.0,5.86
2000,9,25,7.184,17.382,-3.014,0.669,1.0270000000000001,0.293,0.0,3.8810000000000002
2000,9,26,10.214,20.338,0.09,0.7859999999999999,0.996,0.267,0.0,5.1739999999999995
2000,9,27,12.994000000000002,22.971999999999998,3.015,0.816,0.8859999999999999,0.20600000000000002,0.0,5.2139999999999995
2000,9,28,14.862,25.351999999999997,4.371,0.9390000000000001,0.9309999999999999,0.18,0.0,7.35
2000,9,29,17.667,25.947,9.387,1.133,0.8440000000000001,0.27699999999999997,0.0,6.017
2000,9,30,17.369,25.594,9.145,1.088,0.897,0.2,0.0,7.566
2000,10,1,20.846,29.69,12.001,0.9840000000000001,0.672,0.127,0.0,10.133
2000,10,2,14.958,22.616999999999997,7.297999999999999,1.127,0.9309999999999999,0.39399999999999996,0.0,5.507999999999999
2000,10,3,14.298,19.689,8.907,1.1520000000000001,0.9570000000000001,0.457,0.0,6.997000000000001
2000,10,4,11.687999999999999,16.637,6.739,1.131,1.0090000000000001,0.637,0.0,7.507000000000001
2000,10,5,5.5329999999999995,10.957,0.109,0.815,1.006,0.794,0.0,8.113999999999999
2000,10,6,0.858,2.594,-0.877,0.58,1.011,0.773,0.0,4.782
2000,10,7,3.403,5.644,1.162,0.636,0.977,0.655,0.0,5.018
2000,10,8,5.329,11.329,-0.6709999999999999,0.644,0.986,0.45799999999999996,0.0,5.821000000000001
2000,10,9,6.5920000000000005,15.556,-2.372,0.6940000000000001,1.0170000000000001,0.41,0.0,5.586
2000,10,10,10.122,20.29,-0.047,0.813,1.011,0.302,0.0,5.312
2000,10,11,12.273,21.754,2.792,0.919,0.97,0.318,0.0,6.468
2000,10,12,13.372,20.732,6.0120000000000005,0.956,0.94,0.307,0.0,5.8020000000000005
2000,10,13,10.27,16.949,3.59,0.742,0.992,0.196,0.0,5.018
